codice_tipologia,nome,macro_categoria,denominazione,[soggetto],[formato],formato,titolo,[titolo prodotto],nome2,[nome produttore],codice_licenza_app,codice_licenza_app2,denominazione2,[nome licenza],rilevanza,descrizione,codice_localizzazione,comune,provincia,regione,lat,lon
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Previdenza e assistenza,Previdenza assistenza,Firebird,Firebird,-,,-,,1,1,-,,7,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Lavoro,Lavoro,Firebird,Firebird,-,,-,,1,1,-,,6,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Previdenza e assistenza,Previdenza assistenza,Db,Db,-,,-,,1,1,-,,3,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Lavoro,Lavoro,Firebird,Firebird,-,,-,,1,1,-,,4,-,5961,Rovereto,TN,Trentino Alto Adige,45.891,11.0398
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Sicurezza,Sicurezza,Firebird,Firebird,-,,-,,1,1,-,,7,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Sicurezza,Sicurezza,Firebird,Firebird,-,,-,,1,1,-,,6,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Lavoro,Lavoro,Firebird,Firebird,-,,-,,1,1,-,,5,-,5961,Rovereto,TN,Trentino Alto Adige,45.891,11.0398
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Sicurezza,Sicurezza,Firebird,Firebird,-,,-,,1,1,-,,5,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Previdenza e assistenza,Previdenza assistenza,Db,Db,-,,-,,1,1,-,,5,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Lavoro,Lavoro,Firebird,Firebird,-,,-,,1,1,-,,6,-,5961,Rovereto,TN,Trentino Alto Adige,45.891,11.0398
