codice_tipologia,provincia,regione,soggetto,formato,prodotto,produttore
L34,VI,Veneto,Previdenza e assistenza,Firebird,,
L34,VI,Veneto,Lavoro,Firebird,,
L34,VI,Veneto,Previdenza e assistenza,Db,,
L34,TN,Trentino Alto Adige,Lavoro,Firebird,,
L34,VI,Veneto,Sicurezza,Firebird,,
L34,VI,Veneto,Sicurezza,Firebird,,
L34,TN,Trentino Alto Adige,Lavoro,Firebird,,
L34,VI,Veneto,Sicurezza,Firebird,,
L34,VI,Veneto,Previdenza e assistenza,Db,,
L34,TN,Trentino Alto Adige,Lavoro,Firebird,,
L34,VI,Veneto,Sicurezza,Firebird,,
L34,VI,Veneto,Lavoro,Firebird,,
L34,VI,Veneto,Previdenza e assistenza,Db,,
L34,TN,Trentino Alto Adige,Lavoro,Firebird,,
L34,VI,Veneto,Previdenza e assistenza,Db,,
L34,VI,Veneto,Previdenza e assistenza,Db,,
L34,VI,Veneto,Previdenza e assistenza,Db,,
L34,TN,Trentino Alto Adige,Lavoro,Firebird,,
L34,VI,Veneto,Sicurezza,Firebird,,
L34,VI,Veneto,Lavoro,Firebird,,
L34,VI,Veneto,Sicurezza,Firebird,,
L34,TN,Trentino Alto Adige,Lavoro,Firebird,,
L7,TE,Abruzzo,Bilancio,DB2 AS/400,,Iasi s.rl.
L7,CA,Sardegna,Salute,Microsoft SQL Server,3MPARM,3M
L8,PR,Emilia Romagna,Salute,Mysql,4C,CSAmed
L8,PZ,Basilicata,Gestione del personale,Oracle,770,Data processing
L7,SV,Liguria,Salute,Oracle,A50,ASL2
L7,BO,Emilia Romagna,Salute,Oracle,AAR,Data processing
L8,BG,Lombardia,Salute,Microsoft access,Abamix,HPG23
L7,SV,Liguria,Salute,Oracle,ACC,ASL2
L7,AQ,Abruzzo,Salute,DB2 AS/400,ACCETTAQ,ASL 1
L7,BS,Lombardia,Salute,Oracle,ACCEWEB,Hitech S.p.A.
L7,BS,Lombardia,Salute,Oracle,ACCEWEB,Hitech S.p.A.
L7,BS,Lombardia,Salute,Oracle,ACCEWEB,Hitech S.p.A.
L7,MI,Lombardia,Salute,Mysql,AcquaFesca,ASL Milano 2
L34,PR,Emilia Romagna,Lavoro,Sql,Acquisitore in tempo reale,Ragni sistemi
L7,TR,Umbria,Salute,Mysql,Acquisizione DURC,Goodmen S.r.l.
