"codice_tipologia","provincia","regione","soggetto","formato","prodotto","produttore"
"L34","VI","Veneto","Previdenza e assistenza","Firebird","-","-"
"L34","VI","Veneto","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Previdenza e assistenza","Db","-","-"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Sicurezza","Firebird","-","-"
"L34","VI","Veneto","Sicurezza","Firebird","-","-"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Sicurezza","Firebird","-","-"
"L34","VI","Veneto","Previdenza e assistenza","Db","-","-"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Sicurezza","Firebird","-","-"
"L34","VI","Veneto","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Previdenza e assistenza","Db","-","-"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Previdenza e assistenza","Db","-","-"
"L34","VI","Veneto","Previdenza e assistenza","Db","-","-"
"L34","VI","Veneto","Previdenza e assistenza","Db","-","-"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Sicurezza","Firebird","-","-"
"L34","VI","Veneto","Lavoro","Firebird","-","-"
"L34","VI","Veneto","Sicurezza","Firebird","-","-"
"L34","TN","Trentino Alto Adige","Lavoro","Firebird","-","-"
"L7","TE","Abruzzo","Bilancio","DB2 su AS400","???","Iasi s.rl."
"L7","CA","Sardegna","Salute","Sqlserver","3MPARM","3M"
"L8","PR","Emilia Romagna","Salute","Mysql","4C","CSAmed"
"L8","PZ","Basilicata","Gestione del personale","Dbms oracle","770","Data Processing Spa"
"L7","SV","Liguria","Salute","Oracle","A50","ASL2"
"L7","BO","Emilia Romagna","Salute","Dbms oracle","AAR","Data processing"
"L8","BG","Lombardia","Salute","Ms access","Abamix","HPG23"
"L7","SV","Liguria","Salute","Oracle","ACC","ASL2"
"L7","AQ","Abruzzo","Salute","RDBMS DB2/400","ACCETTAQ","ASL 1"
"L7","BS","Lombardia","Salute","Dbms oracle","ACCEWEB","Hitech S.p.A."
"L7","BS","Lombardia","Salute","Dbms oracle","ACCEWEB","Hitech S.p.A."
"L7","BS","Lombardia","Salute","Dbms oracle","ACCEWEB","Hitech S.p.A."
