"codice_ipa","denominazione","codice_fiscale","mail","mail_pec","codice_tipologia","codice_localizzazione"
"014","A.S.L. della Provincia di Sondrio","00727690141","protocollo.pec@aslsondrio.it",t,"L7",6932
"054","Azienda Unita' Sanitaria Locale Umbria 1","03301860544","aslumbria1@postacert.umbria.it",t,"L7",5062
"055","Azienda Unita' Sanitaria Locale Umbria 2","01499590550","aslumbria2@postacert.umbria.it",t,"L7",7169
"058","Azienda Sanitaria Locale Roma G","04733471009","protocollo@pec.aslromag.it",t,"L7",7218
"080","Azienda Sanitaria Provinciale N. 5 di Reggio Calabria","02638720801","sia.asprc@certificatamail.it",t,"L7",5649
"092","Azienda Ospedaliera Brotzu","02315520920","protocollo.generale@pec.aobrotzu.it",t,"L7",1032
"1CMVL","Comunita' Montana Valle del Liri Zona XV","82004410609","xvcmvalledelliri@pec.it",t,"L12",293
"a_017","AZIENDA OSPEDALIERA DI DESENZANO DEL GARDA","01972400988","direzionegenerale@pec.aod.it",t,"L8",2536
"a13_f952","Azienda Sanitaria Locale NO","01522670031","protocollogenerale@pec.asl.novara.it",t,"L7",4639
"a1_ss","Azienda Sanitaria Locale N 1 di Sassari","92005870909","protocollo.generale@pec.aslsassari.it",t,"L7",6625
"a4_og","Asl 4 Lanusei","00978060911","protocollo@pec.asllanusei.it",t,"L7",3453
"a4_te","Azienda Sanitaria Locale N. 4 di Teramo","00115590671","aslteramo@raccomandata.eu",t,"L7",7154
"a8_ca","Asl N. 8 Cagliari","02261430926","protocollo.generale@pec.aslcagliari.it",t,"L7",6727
"aaci_","Autorita di Ambito Calore Irpino","92051670641","atocaloreirpino@pec.it",t,"L23",411
"aapl_001","Agenzia di Accoglienza e Promozione Turistica del Territorio della Provincia di Torino e Provincia","07401840017","amministrazione@pec.turismotorino.org",t,"L10",7251
"aarle_","Ares Agenzia Regionale per L'Edilizia Sostenibile Soc a R.L. Unipersonale","01586700930","aresfvg@legalmail.it",t,"L39",3797
"aatgr_to","Associazione D'Ambito Torinese Governo Rifiuti","09247680011","ato-r@pcert.it",t,"L23",7251
"aato2mca","Autorita' di Ambito Territoriale Ottimale n 2  Marche Centro - Ancona","93086420424","aato2.marche@legalmail.it",t,"L23",3396
"aatolv","Consiglio di Bacino Laguna di Venezia","94049070272","consigliodibacinolv@pec.it",t,"L44",7678
"aaton_","Autorita' di Ambito Territoriale Ottimale N. 3 Marche Centro Macerata","93040870433","ato3marche@legalmail.it",t,"L23",3710
"abab_037","Accademia di Belle Arti di Bologna","80080230370","protocollo@pec.ababo.it",t,"L43",740
"abaf_060","Accademia di Belle Arti di Frosinone","80006930608","abafr@pec.accademiabellearti.fr.it",t,"L43",2943
"abaf_071","Accademia di Belle Arti di Foggia","80003160712","abafg@argopec.it",t,"L43",2808
"abala_aq","Accademia di Belle Arti L'Aquila","80006960662","amministrazione.accademiabellearti.laquila@ecert.it",t,"L43",3402
"abam_043","Accademia di Belle Arti di Macerata","80006160438","abamc@pec.it",t,"L43",3710
"abar_","Accademia di Belle Arti di Roma","80228830586","abaroma@pec.accademiabelleartiroma.it",t,"L43",5873
"abb_","Autorita' di Bacino della Basilicata","96048380768","dgbacino@cert.regione.basilicata.it",t,"L40",5446
"a_bg","Azienda Ospedaliera di Treviglio","02585580166","ufficio_protocollo@pec.ospedale.treviglio.bg.it",t,"L8",7396
"abl_097","Autorita' di Bacino del Lario e Dei Laghi Minori","92045550131","autoritabacinolario@pec.regione.lombardia.it",t,"L40",7634
"abllmcmv","Autorita' di Bacino Lacuale Dei Laghi Maggiore Comabbio Monate Varese","02902910120","protocollo@pec.autoritadibacino.va.it",t,"L40",3496
"AC","Accademia della Crusca","80000950487","accademiadellacrusca@pcert.postecert.it",t,"C7",2782
"aca_","Automobile Club Ancona","00093730422","automobileclubancona@pec.aci.it",t,"C13",223
"aca_at","Automobile Club Asti","00086810058","automobileclubasti@pec.aci.it",t,"C13",386
"aca_av","Automobile Club Avellino","00099890642","aciavellino@pec.it",t,"C13",411
"aca_ct","Automobile Club Acireale","00174820878","automobileclubacireale@pec.aci.it",t,"C13",23
"acam","Agenzia Campana per La Mobilita' Sostenibile","95040910630","acam@pec.acam-campania.it",t,"L2",4547
"ac_apfer","Automobile Club Ascoli Piceno - Fermo","00153620448","automobileclubascolipicenofermo@pec.aci.it",t,"C13",372
"ac_ar","Automobile Club Arezzo","00103460515","aciarezzo@pec.aciarezzo.it",t,"C13",316
"acb","Automobile Club Benevento","00053030623","automobileclubbenevento@pec.aci.it",t,"C13",629
"ac_babr","Accademia di Belle Arti di Brera","80094690155","amministrazione@pec.accademiadibrera.milano.it",t,"L43",4046
"acb_bs","Automobile Club Brescia","00299060178","automobileclubbrescia@pec.aci.it",t,"C13",900
"ac_bo","Automobile Club Bologna","00312900376","postacertificata@pec.acibologna.com",t,"C13",740
"acbr","Automobile Club Brindisi","00060120748","acibri@pec.it",t,"C13",917
"acc_ch","Automobile Club Chieti","00111380697","automobileclubchieti@pec.aci.it",t,"C13",2048
"acc_ct","Automobile Club Catania","00134130871","automobileclubcatania@pec.aci.it",t,"C13",1821
